집회 날짜,집회 일시,집회 장소,신고 인원,관할서,비고
2019.02.18,06:00∼18:00,다비드건설 목동,30,양천,
2019.02.18,8:00,자유한국당사 앞,50,영등포,
2019.02.18,10:00∼13:00,시청동편 태평로,300,남대문,
2019.02.18,10:00∼13:00,서대문구청 연희동,50,서대문,
2019.02.18,10:00∼15:00,카이트타워 역삼동,300,수서,
2019.02.18,10:00∼15:00,마포구청 광장 성산동,200,마포,
2019.02.18,10:00∼16:00,광진경찰서 구의동,500,광진,
2019.02.18,11:00∼12:30,서울시교육청 서소문동,1000,종로,
2019.02.18,13:00∼15:00,SK 1차아파트 종암동,50,종암,
2019.02.18,13:00∼16:00,청량4 공사현장 용두동,60,동대문,
2019.02.18,14:00∼16:00,시청동편 태평로,50,남대문,
2019.02.18,14:00∼16:00,강동구청 제1청사 성내동,50,강동,
2019.02.18,14:00∼16:30,BH사랑채,1000,종로,
2019.02.18,15:00∼18:00,효자PB 궁정동,1000,종로,
2019.02.18,19:00∼21:00,광화문 남측광장 세종대로,100,종로,
